"","season","player_id","player_name","team_id","position_group","player_quality_score","goals_above_replacement_per_96","position_value","age","pct.season.played","minutes_played"
"38","2013","2lqRRz8Jqr","Logan Emory","kRQabn8MKZ","Defense",24.8,-0.0769175510204082,0,25,0.0750612745098039,245
"39","2013","2lqRagL5r0","Khari Stephenson","a2lqR4JMr0","Midfield",36.8,0.0255183129855716,0.213096559378468,32,0.276041666666667,901
"40","2013","2lqRj80qr0","Juninho Pernambucano","a2lqRX2Mr0","Midfield",50.6,0.13375037593985,0.0902255639097744,38,0.325980392156863,1064
"41","2013","2vQ100GqrA","Marcelo Saragosa","EKXMeX3Q64","Midfield",19.2,-0.0468054298642534,0,31,0.135416666666667,442
"42","2013","2vQ12ROMrA","Josué Martínez","a2lqRX2Mr0","Offense",24.4,-0.228,0,22,0.00490196078431373,16
"43","2013","2vQ1L4XOqr","C.J. Sapong","Z2vQ1xlqrA","Offense",42.8,0.121920982599795,0.343909928352098,24,0.598651960784314,1954
"44","2013","2vQ1L4oGqr","Je-Vaughn Watson","mKAqBBmqbg","Midfield",57.6,0.0803598393574297,0.257028112449799,29,0.457720588235294,1494
"45","2013","2vQ1L4x4qr","Bobby Warshaw","mKAqBBmqbg","Midfield",44,0.0853028571428571,0,24,0.0536151960784314,175
"46","2013","2vQ1L8R4qr","Andrew Jean-Baptiste","WBLMvYAQxe","Defense",30.8,0.0642379487179487,0.0820512820512821,20,0.716911764705882,2340
"47","2013","2vQ1LEGLqr","Matt Watson","lgpMOvnQzy","Midfield",31,0.120838868745468,0.069615663524293,28,0.422487745098039,1379
"48","2013","2vQ1LEnlqr","Erick","mKAqBBmqbg","Midfield",17.4,0.0512275862068966,0,24,0.213235294117647,696
"49","2013","2vQ1LOpxqr","Mark Bloom","kRQabn8MKZ","Defense",62.4,0.104890721649485,0.164948453608247,25,0.178308823529412,582
"50","2013","2vQ1LRjxqr","Jaime Alas","0KPqjA456v","Offense",42.6,0.00580143884892086,0,23,0.0425857843137255,139
