"","player_id","season","fantasy_points_season","games_played","position","goals","assists","points","penalty_minutes","shots_on_goal","blocks","giveaways","takeaways","powerplay_goals","shorthanded_goals","shots","shots_blocked","faceoffs_won","faceoffs_lost","fpts.game","fpts.season","pct.season.played","goals_per_game","assists_per_game","points_per_game","shots_per_game","shots_on_goal_per_game","pp_goals_per_game","sh_goals_per_game","blocks_per_game","takeaways_per_game","giveaways_per_game","pim_per_game","shots_blocked_per_game","faceoffs_taken","faceoff_win_pct","position_value","minutes_played","shots_against","goals_against","saves","save_percent","shutout","fantasy_points","minutes_per_game","saves_per_game","shots_against_per_game","goals_against_avg","estimated_wins","win_pct","quality_start_threshold","is_quality_start","league_avg_save_pct","expected_goals_against","gsaa","birth_year","player_name","age"
"106",1418978,2022,43.5,23,"Forward",2,4,6,10,39,6,14,13,1,0,44,5,26,32,1.89130434782609,56.7391304347826,0.766666666666667,0.0869565217391304,0.173913043478261,0.260869565217391,1.91304347826087,1.69565217391304,0.0434782608695652,0,0.260869565217391,0.565217391304348,0.608695652173913,0.434782608695652,0.217391304347826,58,44.8275862068966,2.28260869565217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"Lexie Laing",26
"107",1445700,2023,65,24,"Forward",6,4,10,19,69,7,1,1,1,0,79,10,66,60,2.70833333333333,81.25,0.8,0.25,0.166666666666667,0.416666666666667,3.29166666666667,2.875,0.0416666666666667,0,0.291666666666667,0.0416666666666667,0.0416666666666667,0.791666666666667,0.416666666666667,126,52.3809523809524,3.55654761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,"Sydney Brodt",25
"108",1457199,2023,3.5,6,"Forward",0,1,1,0,3,0,0,0,0,0,4,1,11,16,0.583333333333333,17.5,0.2,0,0.166666666666667,0.166666666666667,0.666666666666667,0.5,0,0,0,0,0,0,0.166666666666667,27,40.7407407407407,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"Lexie Laing",27
"109",1478103,2023,32,16,"Forward",3,5,8,6,23,3,2,0,0,0,26,3,0,0,2,60,0.533333333333333,0.1875,0.3125,0.5,1.625,1.4375,0,0,0.1875,0,0.125,0.375,0.1875,0,NA,2.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,"Daryl Watts",24
"110",1492453,2023,102.5,23,"Forward",11,11,22,8,84,6,1,2,3,0,94,10,2,1,4.45652173913043,133.695652173913,0.766666666666667,0.478260869565217,0.478260869565217,0.956521739130435,4.08695652173913,3.65217391304348,0.130434782608696,0,0.260869565217391,0.0869565217391304,0.0434782608695652,0.347826086956522,0.434782608695652,3,66.6666666666667,6.10869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Ann-Sophie Bettez",36
"111",1499233,2023,7,9,"Forward",0,2,2,2,5,1,0,0,0,0,6,1,32,28,0.777777777777778,23.3333333333333,0.3,0,0.222222222222222,0.222222222222222,0.666666666666667,0.555555555555556,0,0,0.111111111111111,0,0,0.222222222222222,0.111111111111111,60,53.3333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,"Maggie Knott",25
"112",1509093,2023,13.5,8,"Forward",0,3,3,0,15,0,0,0,0,0,15,0,0,0,1.6875,50.625,0.266666666666667,0,0.375,0.375,1.875,1.875,0,0,0,0,0,0,0,0,NA,2.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,"Hayley Lunny",24
"113",1513122,2023,10,11,"Forward",1,1,2,8,8,1,0,1,0,0,8,0,19,20,0.909090909090909,27.2727272727273,0.366666666666667,0.0909090909090909,0.0909090909090909,0.181818181818182,0.727272727272727,0.727272727272727,0,0,0.0909090909090909,0.0909090909090909,0,0.727272727272727,0,39,48.7179487179487,1.22727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,"Taylor Wente",24
"114",1522341,2023,6.5,6,"Defense",0,1,1,2,1,8,0,0,0,0,1,0,0,0,1.08333333333333,32.5,0.2,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1.33333333333333,0,0,0.333333333333333,0,0,NA,3.21666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,"Chloe Gonsalves",24
"115",1522428,2023,5.5,7,"Forward",1,1,2,2,1,0,0,0,0,0,2,1,0,0,0.785714285714286,23.5714285714286,0.233333333333333,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.142857142857143,0,0,0,0,0,0.285714285714286,0.142857142857143,0,NA,1.21428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,"Kristina Schuler",24
