"playerid","Season","GP"
225,2003,35
225,2004,35
225,2005,33
225,2006,32
225,2007,30
225,2008,34
225,2009,33
225,2010,33
225,2011,31
225,2012,31
225,2013,33
225,2014,32
225,2015,32
231,1997,27
231,1999,66
231,2002,65
231,2003,72
231,2004,72
231,2005,43
231,2006,44
231,2008,31
232,2001,35
232,2002,33
232,2003,32
232,2004,34
232,2005,32
232,2006,33
232,2007,32
232,2008,32
232,2009,34
232,2010,34
232,2011,9
232,2013,12
233,2002,33
233,2003,3
233,2004,15
233,2005,14
233,2008,4
234,2002,41
234,2003,42
234,2004,4
234,2005,15
234,2007,67
234,2008,47
237,2002,67
237,2003,4
237,2004,37
237,2005,79
237,2006,84
237,2007,78
237,2008,72
237,2009,63
237,2010,38
247,2001,23
247,2002,69
247,2003,71
247,2004,74
247,2005,66
247,2006,75
247,2007,64
247,2008,72
247,2009,21
247,2010,30
249,1995,39
249,1996,73
249,1997,48
249,1998,54
249,2000,46
249,2002,59
249,2003,48
249,2004,31
249,2005,4
250,1998,21
250,1999,31
250,2000,33
250,2002,8
250,2003,5
252,2002,32
252,2003,3
253,1997,42
253,1999,29
253,2000,31
253,2001,33
253,2002,27
253,2003,5
253,2004,4
258,2002,33
258,2003,20
258,2004,4
259,2002,50
259,2003,43
259,2004,3
259,2005,45
260,1997,17
260,1998,58
260,1999,73
260,2002,66
260,2003,60
260,2004,78
260,2005,33
260,2006,19
260,2007,61
263,2009,6
263,2010,28
263,2011,73
263,2012,1
263,2014,1
265,1995,3
265,1996,34
265,1997,23
265,2000,30
265,2001,9
265,2002,7
265,2003,7
266,1998,27
266,1999,17
266,2000,31
266,2001,32
266,2002,16
266,2003,2
267,1996,22
267,2002,73
267,2003,68
267,2004,22
267,2005,43
267,2006,72
267,2007,69
267,2008,18
269,2002,4
271,1998,4
271,1999,31
271,2000,34
271,2001,32
271,2002,32
271,2003,32
271,2004,30
271,2005,32
271,2006,12
273,2001,10
273,2002,45
273,2003,25
273,2004,50
273,2005,28
273,2006,31
273,2007,53
273,2008,57
273,2009,46
273,2010,5
273,2011,56
273,2012,43
274,1997,55
274,1999,24
274,2000,27
274,2001,32
274,2002,16
274,2003,20
274,2004,9
276,2001,36
276,2002,2
277,2003,58
277,2004,2
278,1999,27
278,2000,46
278,2001,76
278,2002,45
278,2003,76
278,2004,72
278,2005,72
278,2006,72
278,2007,63
278,2008,61
278,2009,41
278,2010,60
278,2011,63
278,2012,34
278,2013,48
278,2014,35
279,1994,21
279,1995,30
279,1996,34
279,1997,35
279,1998,32
279,1999,37
279,2000,38
279,2001,81
279,2002,73
279,2003,62
279,2004,40
279,2005,48
279,2006,10
282,1995,32
282,2002,34
282,2003,66
282,2004,79
282,2005,79
282,2006,59
282,2007,44
282,2008,34
282,2009,3
287,1994,17
287,1995,21
287,1996,51
287,1997,33
287,1998,29
287,1999,31
287,2000,36
287,2001,35
287,2002,21
287,2004,27
287,2005,36
287,2006,28
287,2007,14
287,2008,26
290,2000,23
290,2001,17
290,2002,11
290,2003,35
290,2004,60
290,2005,30
290,2006,61
290,2007,58
290,2008,57
290,2009,57
290,2010,41
291,1994,22
291,1999,40
291,2000,53
291,2001,56
291,2002,18
291,2003,9
296,2001,11
296,2005,69
296,2006,78
296,2007,56
296,2008,83
296,2009,21
296,2010,68
296,2011,59
296,2012,32
297,2007,57
299,1995,19
299,1996,30
299,1997,14
299,1998,14
299,1999,6
299,2002,11
299,2004,9
301,2002,19
301,2003,32
301,2004,21
301,2005,27
301,2006,9
304,1998,26
304,2000,25
304,2001,29
304,2002,33
304,2003,32
304,2004,22
304,2005,21
304,2006,4
304,2007,21
304,2008,65
304,2009,58
304,2010,47
304,2011,55
304,2012,10
305,2001,6
305,2002,32
305,2003,32
305,2004,31
305,2005,34
305,2006,37
305,2007,37
305,2008,38
305,2009,35
305,2010,42
305,2011,25
305,2012,35
307,2001,18
307,2002,6
307,2003,5
307,2004,39
307,2005,36
308,1999,28
308,2000,62
308,2002,9
308,2004,67
308,2005,6
313,2000,17
313,2001,46
313,2002,52
313,2003,51
313,2004,88
313,2005,69
313,2006,18
313,2007,3
317,1996,15
317,1998,43
317,2000,40
317,2001,35
317,2002,31
317,2003,36
317,2004,50
317,2005,28
317,2006,62
317,2007,17
317,2008,4
317,2009,28
317,2010,53
318,2004,23
318,2005,33
319,2014,130
322,2000,11
322,2003,7
322,2005,3
322,2006,2
324,2001,5
324,2002,14
324,2003,12
324,2004,2
324,2006,4
326,1997,15
326,1998,62
326,1999,75
326,2000,66
326,2001,66
326,2002,69
326,2003,30
326,2004,68
326,2005,40
326,2006,13
328,1994,16
328,1995,31
328,1996,34
328,1997,31
328,1998,35
328,1999,22
328,2001,26
328,2002,38
328,2003,3
329,1997,13
329,1998,33
329,1999,30
329,2000,33
329,2001,32
329,2002,36
329,2003,18
329,2004,5
334,2010,43
334,2011,6
338,2011,15
338,2012,26
338,2013,12
338,2014,1
341,2012,21
346,2002,26
347,2001,9
347,2003,42
347,2004,22
348,2001,38
348,2002,32
348,2003,57
348,2004,83
348,2005,75
348,2006,27
348,2007,26
349,1994,26
349,1995,14
349,2002,31
354,1997,11
354,1998,18
354,1999,34
354,2000,51
354,2001,26
354,2002,12
357,1995,3
357,1996,7
357,1997,59
357,1998,67
357,1999,79
357,2000,79
357,2001,79
357,2002,71
357,2003,65
357,2004,49
360,1994,7
360,1995,19
360,1997,12
360,1998,69
360,2000,66
360,2001,69
360,2002,62
360,2003,46
360,2004,64
360,2005,6
361,1999,62
361,2000,48
361,2002,63
361,2003,65
361,2004,28
361,2005,17
361,2006,42
361,2007,16
367,2002,39
367,2003,71
367,2004,62
367,2005,67
367,2006,57
367,2007,53
367,2009,59
367,2010,51
367,2011,29
371,2004,4
375,1997,19
375,1998,31
375,1999,32
375,2000,30
375,2001,34
375,2002,33
375,2003,34
375,2004,34
375,2005,33
375,2006,10
375,2007,19
375,2008,7
375,2009,12
375,2011,29
375,2012,24
375,2013,30
375,2014,31
375,2015,33
375,2016,34
375,2017,28
375,2018,28
377,2002,5
379,2002,26
379,2003,11
379,2004,34
379,2005,24
379,2006,2
380,2002,7
380,2003,6
380,2004,12
384,1997,25
384,1998,34
384,1999,33
384,2000,34
384,2002,32
389,2003,70
389,2004,76
394,2001,3
394,2002,2
394,2004,3
395,2013,50
396,1997,29
396,1998,7
396,2000,36
396,2001,33
396,2003,5
397,1997,34
397,1998,33
397,1999,34
397,2001,15
397,2002,20
397,2003,5
399,2002,29
399,2003,6
399,2006,63
399,2007,41
399,2008,6
399,2009,6
401,1997,62
401,1998,59
401,2002,71
401,2003,64
401,2004,67
401,2005,67
401,2006,5
401,2008,8
402,2002,51
402,2003,65
402,2004,72
402,2005,58
402,2006,41
402,2007,65
402,2008,45
402,2009,1
402,2010,23
403,2002,3
404,2001,33
404,2002,33
404,2003,31
404,2004,30
404,2005,31
404,2006,28
404,2007,34
404,2008,35
404,2009,34
404,2010,34
404,2011,33
404,2012,28
404,2013,32
404,2014,8
404,2015,29
404,2016,30
404,2017,27
404,2018,29
404,2019,23
406,1997,39
406,1998,43
406,2002,67
406,2003,62
406,2007,25
407,2002,4
410,2003,33
410,2006,15
410,2007,28
410,2008,19
410,2009,1
412,2001,23
412,2002,11
412,2003,34
412,2004,33
412,2005,34
412,2006,32
412,2007,25
412,2008,5
412,2010,33
412,2011,35
412,2012,30
412,2013,21
413,1998,72
413,1999,71
413,2002,35
413,2004,30
413,2005,64
413,2006,56
413,2007,57
414,1994,51
414,1995,65
414,1996,77
414,1997,71
414,2002,64
415,1997,16
415,1998,32
415,1999,26
415,2000,9
415,2001,7
415,2002,8
415,2003,50
415,2004,32
415,2005,13
415,2006,31
415,2007,3
424,2001,27
424,2002,21
424,2003,23
424,2004,66
424,2005,27
424,2006,26
424,2007,63
424,2008,15
426,1998,28
426,1999,42
426,2000,30
426,2001,24
426,2003,11
426,2004,29
426,2005,31
426,2006,20
426,2007,9
426,2008,8
429,2002,31
429,2003,75
429,2004,46
429,2005,77
429,2006,66
429,2007,64
429,2008,67
429,2009,65
429,2010,48
429,2011,67
429,2012,32
430,1994,44
430,1995,24
430,1996,29
430,1997,34
430,1998,32
430,1999,34
430,2000,35
430,2001,40
430,2002,36
430,2003,32
430,2004,36
430,2005,12
430,2008,13
430,2009,21
430,2010,10
434,2001,7
434,2002,32
434,2003,33
434,2004,37
434,2005,22
434,2006,32
434,2007,21
434,2008,6
434,2009,44
435,1998,4
435,1999,31
435,2000,72
435,2001,56
435,2002,74
435,2003,63
435,2004,31
436,1994,48
436,1995,66
436,1996,51
436,2002,79
436,2003,59
436,2004,78
436,2005,68
436,2006,62
436,2007,63
436,2008,45
439,1994,20
439,1995,29
439,1997,31
439,1998,31
439,1999,31
439,2002,58
439,2003,67
439,2004,71
439,2005,78
439,2006,37
439,2008,15
441,1994,24
441,1995,32
441,1996,36
441,1997,34
441,1998,32
441,1999,20
441,2000,35
441,2001,30
441,2002,35
441,2003,7
444,1997,14
444,1998,19
444,1999,65
444,2000,62
444,2001,36
444,2002,58
444,2003,15
444,2004,40
444,2005,36
444,2006,66
444,2007,50
444,2008,75
444,2009,75
444,2010,59
444,2011,4
446,2002,24
446,2003,8
446,2004,31
446,2005,29
446,2006,25
446,2007,36
451,1999,19
451,2000,47
451,2001,54
451,2002,63
451,2003,72
451,2004,62
451,2005,65
451,2006,58
451,2007,51
451,2008,62
451,2009,41
452,2002,33
452,2003,17
452,2004,6
452,2009,9
453,1997,27
453,1998,26
453,1999,14
453,2001,14
453,2002,30
453,2003,35
453,2004,33
453,2005,17
453,2006,18
453,2007,2
456,1994,43
456,1995,15
456,1998,38
456,2000,68
456,2001,55
456,2002,61
456,2003,49
456,2004,59
456,2005,71
456,2006,64
456,2007,29
457,2002,144
457,2004,133
458,1995,17
458,1997,25
458,1998,50
458,1999,50
458,2000,62
458,2001,57
458,2002,65
458,2003,39
459,2002,12
459,2003,23
459,2005,12
460,2002,28
460,2003,50
460,2004,16
460,2005,36
460,2006,4
462,2002,9
462,2003,32
462,2004,5
465,2002,44
467,1998,21
467,2002,8
467,2004,12
467,2005,1
468,1998,74
468,2000,88
473,2002,1
475,1997,52
475,1998,33
475,1999,35
475,2000,33
475,2001,32
475,2002,20
475,2003,14
475,2004,38
475,2005,32
475,2006,4
479,2002,2
480,1997,31
480,1998,33
480,1999,32
480,2000,29
480,2002,13
480,2003,3
480,2005,37
480,2006,31
480,2007,42
480,2008,31
480,2009,29
480,2010,20
483,1996,13
483,1997,9
483,2000,69
483,2001,60
483,2002,41
483,2003,1
485,1999,53
485,2002,6
485,2003,19
485,2004,37
487,2002,4
489,2001,16
489,2008,3
490,1998,18
490,2000,9
490,2001,1
490,2002,13
490,2003,1
490,2004,17
491,2000,32
491,2002,30
491,2003,29
491,2004,32
491,2005,30
491,2006,29
491,2007,11
491,2008,10
494,2002,20
494,2003,27
494,2005,38
494,2006,63
494,2007,48
494,2008,38
494,2009,73
494,2010,72
494,2011,39
494,2012,76
494,2013,68
494,2014,69
494,2015,68
494,2016,66
494,2017,61
494,2018,68
494,2019,54
496,1997,30
496,1998,35
496,1999,22
496,2000,36
496,2002,38
496,2005,41
496,2006,7
499,1998,22
499,1999,28
499,2001,35
499,2002,32
499,2003,51
499,2004,29
502,2002,57
502,2003,78
502,2004,70
502,2005,65
502,2006,56
502,2007,81
502,2008,59
502,2009,22
503,1999,31
503,2000,31
503,2001,33
503,2002,32
503,2003,32
503,2004,35
503,2005,39
503,2006,33
503,2007,27
503,2009,28
503,2010,44
507,1999,14
507,2000,67
507,2002,50
507,2003,51
507,2004,13
507,2005,6
509,2012,1
510,2001,4
510,2002,23
510,2003,24
510,2004,26
510,2005,29
510,2006,33
510,2007,30
510,2008,27
510,2009,32
510,2010,21
510,2011,30
510,2012,28
510,2013,8
510,2014,20
511,1994,24
511,1995,50
511,1996,68
511,1997,16
511,2002,15
511,2003,7
511,2004,18
512,1999,7
512,2000,13
512,2001,27
512,2002,31
512,2003,4
512,2004,20
512,2005,32
512,2006,21
512,2007,25
512,2008,35
512,2009,33
512,2010,33
512,2011,34
512,2012,31
512,2013,30
512,2014,34
512,2015,26
516,1998,59
516,1999,56
516,2000,56
516,2002,43
516,2003,10
516,2004,7
516,2005,22
517,1998,14
517,1999,26
517,2000,33
517,2001,34
517,2002,35
517,2003,24
517,2004,23
517,2005,63
517,2006,74
517,2007,66
517,2008,33
517,2009,31
517,2010,35
517,2011,35
517,2012,28
517,2013,32
521,2000,1
521,2001,6
521,2004,8
521,2005,3
521,2006,51
521,2007,57
521,2008,60
521,2009,52
521,2011,28
521,2012,64
521,2013,54
521,2014,62
521,2015,36
521,2016,67
521,2017,46
522,2002,20
526,2000,73
526,2001,71
526,2002,78
526,2003,74
526,2004,71
526,2005,60
526,2006,69
526,2007,31
526,2008,42
526,2009,34
528,2002,31
532,1999,44
532,2000,17
532,2001,51
532,2002,76
532,2003,14
532,2004,21
532,2008,23
532,2009,1
533,2001,4
533,2002,17
533,2003,7
535,2000,24
535,2001,31
535,2002,24
535,2003,33
535,2004,24
535,2005,29
535,2006,34
535,2007,33
535,2008,19
535,2009,30
535,2010,9
535,2011,31
535,2012,22
535,2014,8
539,2008,3
539,2009,6
541,1997,88
541,1998,60
541,1999,47
541,2000,51
541,2001,34
541,2002,29
541,2003,63
541,2004,76
541,2005,74
541,2006,58
541,2007,34
541,2008,52
541,2009,42
542,2002,49
542,2003,50
542,2004,8
542,2005,3
551,1994,14
551,1995,37
551,1996,24
551,2004,43
551,2005,61
551,2006,25
551,2007,67
551,2008,72
551,2009,20
552,1998,8
552,2003,7
552,2004,27
554,2000,26
554,2001,66
554,2002,43
554,2003,20
555,1999,19
555,2000,50
555,2001,61
555,2002,83
555,2003,76
555,2004,77
555,2005,15
555,2006,14
555,2007,33
555,2008,72
555,2009,62
555,2010,68
555,2011,65
555,2012,57
555,2013,6
557,2000,25
557,2002,4
557,2003,36
557,2004,43
557,2005,13
557,2006,11
559,2010,34
559,2012,18
559,2013,43
559,2014,1
560,2001,3
560,2002,25
560,2004,9
563,2002,6
563,2003,78
563,2004,80
563,2005,70
563,2006,78
563,2007,66
563,2008,72
563,2009,67
563,2010,50
563,2011,25
563,2012,11
564,2000,11
564,2002,22
564,2003,52
564,2004,73
564,2005,73
564,2006,72
564,2007,71
564,2008,50
564,2009,57
564,2010,51
564,2011,63
566,2002,17
566,2003,2
567,1995,23
567,1996,67
567,1997,64
567,2000,50
567,2001,30
567,2002,12
568,1999,5
568,2000,16
568,2001,32
568,2002,26
568,2003,36
568,2004,16
568,2005,16
568,2006,5
568,2007,3
569,1995,29
569,1996,51
569,1997,33
569,1998,30
569,1999,33
569,2000,24
569,2001,34
569,2002,22
570,1995,20
570,1998,43
570,1999,67
570,2002,12
570,2003,6
570,2004,41
570,2005,7
571,2001,28
571,2002,35
571,2003,21
571,2004,36
571,2005,35
571,2006,35
571,2007,33
571,2008,32
571,2009,30
571,2010,35
571,2011,24
571,2012,17
571,2013,9
572,2002,55
572,2003,13
572,2004,14
572,2005,3
573,2001,13
573,2002,18
573,2003,33
573,2004,27
573,2005,10
573,2007,15
573,2008,35
573,2009,30
574,1994,33
574,1995,30
574,1996,35
574,1997,30
574,1998,35
574,1999,35
574,2000,22
574,2001,28
574,2002,13
574,2003,30
574,2004,1
576,2002,78
576,2003,65
576,2004,43
576,2005,23
576,2007,5
578,1996,37
578,1997,62
578,1998,58
578,2000,28
578,2002,70
578,2003,78
578,2004,44
578,2005,75
578,2006,70
578,2007,65
578,2008,45
578,2009,17
578,2010,71
582,2006,7
582,2007,26
582,2009,5
583,2002,34
583,2003,36
583,2004,38
583,2005,49
583,2006,54
583,2007,75
583,2008,74
583,2009,74
583,2010,53
583,2011,67
583,2012,67
583,2013,39
583,2014,62
583,2015,52
586,2002,31
586,2003,8
586,2006,3
587,2002,10
587,2003,7
588,1996,51
588,1997,7
588,2002,36
594,1995,17
594,1996,38
594,1997,31
594,1998,9
594,1999,32
594,2000,17
594,2001,19
594,2002,33
594,2004,19
594,2005,31
594,2006,31
594,2007,31
594,2008,30
594,2009,7
596,2011,12
596,2012,32
596,2013,28
599,2002,5
599,2003,19
599,2004,43
599,2005,7
599,2006,14
599,2007,1
601,2002,6
601,2003,18
601,2004,10
602,2000,63
602,2002,70
602,2003,76
602,2004,71
602,2005,22
602,2006,19
605,1997,73
605,2002,52
605,2003,65
605,2004,63
605,2005,67
605,2006,68
605,2007,50
612,2002,6
612,2003,67
612,2004,13
612,2005,67
612,2006,29
612,2007,54
612,2008,16
612,2009,57
612,2010,17
612,2011,69
612,2012,7
613,1996,10
613,1997,29
613,2002,30
613,2003,35
613,2004,31
613,2005,24
614,2000,117
617,2003,7
617,2004,33
618,2002,44
618,2003,3
624,1999,8
624,2000,44
624,2001,27
624,2002,30
624,2003,15
625,1995,15
625,1996,14
625,1997,2
625,1999,27
625,2000,30
625,2001,25
625,2002,2
630,2002,23
630,2003,62
630,2004,53
630,2005,64
630,2006,65
630,2007,73
630,2008,69
630,2009,44
632,1998,24
632,2000,17
632,2001,36
632,2002,27
633,1997,23
633,1998,17
633,1999,32
633,2000,35
633,2001,34
633,2002,33
633,2003,32
633,2004,31
633,2005,32
633,2006,32
633,2007,35
633,2008,33
633,2009,30
633,2010,30
633,2012,8
636,2001,29
636,2002,12
636,2003,29
636,2006,5
637,1994,24
637,1995,31
637,1996,25
637,1997,31
637,1998,33
637,1999,31
637,2000,32
637,2001,3
637,2002,30
637,2003,21
637,2004,2
638,2002,12
642,1996,34
642,1997,33
642,1998,36
642,1999,35
642,2000,33
642,2001,20
642,2002,17
642,2003,32
642,2004,22
642,2005,13
643,1996,19
643,1997,2
643,2000,8
643,2001,47
643,2002,63
643,2003,23
643,2004,42
643,2005,72
643,2006,25
646,1996,64
646,1997,42
646,1998,33
646,1999,32
646,2000,32
646,2001,32
646,2002,39
646,2003,19
647,1994,28
647,1996,20
647,1997,48
647,1998,33
647,1999,30
647,2000,32
647,2001,16
647,2003,10
647,2004,60
649,2001,19
649,2002,3
649,2003,4
650,1999,5
650,2000,20
