"","X","athlete_display_name","athlete_id","position","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"22",22,"Lisa Leslie",6,NA,2003,2.82316060992287,0.134436219520137,21,5.91519365888602,1.86277573239362,2.62100614247911,0.477272727272727,2.62100614247911,1.86277573239362,2.62100614247911,2.62100614247911,"1972-07-07","2003-05-01",30,33
"23",23,"Lisa Leslie",6,NA,2004,5.32778441487737,0.171864013383141,31,7.5620165888582,3.80834725668569,3.68981819015898,0.704545454545455,3.68981819015898,3.80834725668569,3.68981819015898,3.68981819015898,"1972-07-07","2004-05-01",31,68
"24",24,"Lisa Leslie",6,NA,2006,5.5987122028566,0.139967805071415,40,6.15858342314226,4.3348551177857,3.64942178732908,0.909090909090909,3.64942178732908,4.3348551177857,3.64942178732908,3.64942178732908,"1972-07-07","2006-05-01",33,98
"25",25,"Lisa Leslie",6,NA,2008,4.62026288944324,0.121585865511664,38,5.34977808251323,5.18147730621311,4.14972619062878,0.863636363636364,4.14972619062878,5.18147730621311,4.14972619062878,4.14972619062878,"1972-07-07","2008-05-01",35,97
"26",26,"Lisa Leslie",6,NA,2009,2.89447367518207,0.0998094370752438,29,4.39161523131073,4.28592558426684,3.52749405079534,0.659090909090909,3.52749405079534,4.28592558426684,3.52749405079534,3.52749405079534,"1972-07-07","2009-05-01",36,61
"27",27,"Mwadi Mabika",7,NA,2003,2.14550062988874,0.0766250224960266,28,3.37150098982517,1.21859246644191,1.13001513613537,0.636363636363636,1.13001513613537,1.21859246644191,1.13001513613537,1.13001513613537,"1976-07-27","2003-05-01",26,56
"28",28,"Mwadi Mabika",7,NA,2004,2.95149530881023,0.105410546743222,28,4.63806405670179,1.75562403273103,1.92113475127489,0.636363636363636,1.92113475127489,1.75562403273103,1.92113475127489,1.92113475127489,"1976-07-27","2004-05-01",27,57
"29",29,"Mwadi Mabika",7,NA,2006,1.62982420687076,0.044049302888399,37,1.93816932708956,0.705331772153137,0.555019488227195,0.840909090909091,0.555019488227195,0.705331772153137,0.555019488227195,0.555019488227195,"1976-07-27","2006-05-01",29,94
"30",30,"Mwadi Mabika",7,NA,2007,1.30950436986222,0.0409220115581944,32,1.80056850856056,0.774298549535764,0.672395639756377,0.727272727272727,0.672395639756377,0.774298549535764,0.672395639756377,0.672395639756377,"1976-07-27","2007-05-01",30,72
"31",31,"Mwadi Mabika",7,NA,2008,0.0435907185376979,0.00229424834408936,19,0.100946927139932,-0.683208109759342,-0.603016549410636,0.431818181818182,-0.603016549410637,-0.683208109759342,-0.603016549410636,-0.603016549410637,"1976-07-27","2008-05-01",31,28
"32",32,"DeLisha Milton-Jones",9,"F",2003,2.66088426224218,0.10234170239393,26,4.50303490533293,0.188301571035333,0.27958786081349,0.590909090909091,0.27958786081349,0.188301571035333,0.27958786081349,0.27958786081349,"1974-09-11","2003-05-01",28,28
"33",33,"DeLisha Milton-Jones",9,"F",2004,0.472213619378696,0.0314809079585797,15,1.38515995017751,-0.963595608807696,-0.774532294927929,0.340909090909091,-0.774532294927929,-0.963595608807696,-0.774532294927929,-0.774532294927929,"1974-09-11","2004-05-01",29,12
"34",34,"DeLisha Milton-Jones",9,"F",2006,2.42950318996495,0.097180127598598,25,4.27592561433831,0.190716840439228,0.766185191716184,0.568181818181818,0.766185191716184,0.190716840439228,0.766185191716184,0.766185191716184,"1974-09-11","2006-05-01",31,26
"35",35,"DeLisha Milton-Jones",9,"F",2007,2.20384692535333,0.062967055010095,35,2.77055042044418,0.149676016007613,0.0683873459064079,0.795454545454545,0.0683873459064077,0.149676016007613,0.0683873459064079,0.0683873459064078,"1974-09-11","2007-05-01",32,65
"36",36,"DeLisha Milton-Jones",9,"F",2008,3.10315852806272,0.0861988480017423,36,3.79274931207666,0.794441669801451,0.606107892507754,0.818181818181818,0.606107892507754,0.794441669801451,0.606107892507754,0.606107892507754,"1974-09-11","2008-05-01",33,70
"37",37,"DeLisha Milton-Jones",9,"F",2009,2.23043881373153,0.0571907388136291,39,2.51639250779968,0.172477801015515,-0.0264097778575149,0.886363636363636,-0.026409777857515,0.172477801015515,-0.026409777857515,-0.0264097778575149,"1974-09-11","2009-05-01",34,84
"38",38,"DeLisha Milton-Jones",9,"F",2010,2.7331551668388,0.0759209768566334,36,3.34052298169187,0.46592262829451,0.373464255116624,0.818181818181818,0.373464255116624,0.46592262829451,0.373464255116624,0.373464255116624,"1974-09-11","2010-05-01",35,71
"39",39,"DeLisha Milton-Jones",9,"F",2011,1.98789228725991,0.0584674202135269,34,2.57256648939518,0.12895673490684,0.0965882868341831,0.772727272727273,0.0965882868341829,0.12895673490684,0.0965882868341831,0.096588286834183,"1974-09-11","2011-05-01",36,56
"40",40,"DeLisha Milton-Jones",9,"F",2012,1.92655824191387,0.0506989011029967,38,2.23075164853185,0.103714144778699,-0.0830437834877591,0.863636363636364,-0.0830437834877591,0.103714144778699,-0.0830437834877592,-0.0830437834877591,"1974-09-11","2012-05-01",37,80
"41",41,"DeLisha Milton-Jones",9,"F",2013,1.08932608435401,0.0418971570905388,26,1.84347491198371,-0.381823718176722,-0.220931299288804,0.590909090909091,-0.220931299288804,-0.381823718176722,-0.220931299288804,-0.220931299288804,"1974-09-11","2013-05-01",38,29
"42",42,"DeLisha Milton-Jones",9,"F",2014,0.518388347570068,0.0246851594080985,21,1.08614701395633,-0.67221093350993,-0.512267156166499,0.477272727272727,-0.512267156166499,-0.67221093350993,-0.512267156166499,-0.512267156166499,"1974-09-11","2014-05-01",39,19
"43",43,"DeLisha Milton-Jones",9,"F",2015,0.0253126116759786,0.00140625620422103,18,0.0618752729857255,-1.07229346620506,-1.1541433907353,0.409090909090909,-1.1541433907353,-1.07229346620506,-1.1541433907353,-1.1541433907353,"1974-09-11","2015-05-01",40,15
"44",44,"Nikki Teasley",10,NA,2003,3.70336005783307,0.123445335261102,30,5.43159475148851,2.6994929235359,2.33754358806857,0.681818181818182,2.33754358806857,2.6994929235359,2.33754358806857,2.33754358806857,"1979-03-22","2003-05-01",24,65
"45",45,"Nikki Teasley",10,NA,2004,2.67635209945676,0.0863339386921535,31,3.79869330245475,1.51794552201815,1.41340381659193,0.704545454545455,1.41340381659193,1.51794552201815,1.41340381659193,1.41340381659193,"1979-03-22","2004-05-01",25,69
"46",46,"Nikki Teasley",10,NA,2006,2.87848931203899,0.0799580364455276,36,3.51815360360321,1.84722823148093,1.71346196958498,0.818181818181818,1.71346196958498,1.84722823148093,1.71346196958498,1.71346196958498,"1979-03-22","2006-05-01",27,90
