"","season","player_id","player_name","team_id","position_group","player_quality_score","goals_above_replacement_per_96","position_value","age","pct.season.played","minutes_played"
"45","2016","4wM4aa445j","Celeste Boureille","Pk5LeeNqOW","Midfield",21.4,0.0251787819253438,0,21,0.220920138888889,509
"46","2016","4wM4ajpz5j","Mary Luba","KPqjw8PQ6v","Midfield",33.2,-0.0245333333333333,0,22,0.0078125,18
"47","2016","7VqGjEoj5v","Nikki Stanton","raMyrr25d2","Midfield",41.8,0.0749204210526316,0,25,0.206163194444444,475
"48","2016","7VqGm02dMv","Alex Morgan","XVqKeVKM01","Offense",63.4,0.189268345813479,0.326752893124575,26,0.637586805555556,1469
"49","2016","7VqGm3RzMv","Natasha Kai","raMyrr25d2","Offense",47,0.162930481283422,0.320855614973262,32,0.649305555555556,1496
"50","2016","7VqGm3jYMv","Ellie Brush","4JMAk47qKg","Defense",21.2,0.0318706620209059,0,27,0.622829861111111,1435
"51","2016","7vQ7rAZOqD","Line Jensen","aDQ0lzvQEv","Midfield",14,-0.0597538461538462,0,24,0.0677083333333333,156
"52","2016","7vQ7rAdOqD","Mandy Laddish","kRQaWa15KZ","Midfield",48.8,0.123029749303621,0,23,0.779079861111111,1795
"53","2016","9Yqd6PL7Mv","Lindsey Heaps","Pk5LeeNqOW","Midfield",79.4,0.172261096605744,0.37597911227154,21,0.664930555555556,1532
"54","2016","9Yqd6bA7Mv","Kristen Hamilton","xW5pwDBMg1","Offense",52.4,0.0832141592920354,0,23,0.0980902777777778,226
"55","2016","9Yqd6bg7Mv","Brittany Kolmel","kRQaWa15KZ","Defense",37.6,0.109134500514933,0,28,0.842881944444444,1942
"56","2016","9Yqdkgdm5v","Denise O'Sullivan","4JMAk47qKg","Midfield",52.8,0.151068656716418,0.477611940298507,22,0.610677083333333,1407
"57","2016","9YqdkwPR5v","Lianne Sanderson","c(""xW5pwDBMg1"", ""XVqKeVKM01"")","Offense",59.6,0.14546278101582,0.479600333055787,28,0.521267361111111,1201
"58","2016","9vQ2220eQK","Angela Salem","4wM4Ezg5jB","Midfield",33.8,0.0685879518072289,0.0525739320920044,27,0.792534722222222,1826
"59","2016","9vQ222oeQK","Hayley Raso","Pk5LeeNqOW","Offense",45.6,0.182697931034483,0.220689655172414,21,0.377604166666667,870
"60","2016","9vQ22aGxQK","Julie Ertz","KPqjw8PQ6v","Defense",52.8,0.129524882629108,0,23,0.5546875,1278
"61","2016","9vQ22eXYQK","Meg Morris","Pk5LeeNqOW","Defense",55,0.0569052631578947,0.631578947368421,23,0.131944444444444,304
"62","2016","9vQ2d8nx5K","Mollie Pathman","4wM4Ezg5jB","Defense",46.6,0.039221164021164,0.0846560846560847,23,0.4921875,1134
"63","2016","9z5k7G0J5A","Kelly Conheeney","raMyrr25d2","Offense",38.2,0.0611926380368098,0.147239263803681,25,0.282986111111111,652
"64","2016","9z5k7G3l5A","Rachel Wood","4wM4Ezg5jB","Midfield",13.6,-0.0732854237288136,0,25,0.128038194444444,295
"65","2016","9z5k7GVJ5A","Melissa Henderson","4JMAk47qKg","Offense",25.6,-0.0168611898016997,0,26,0.153211805555556,353
"66","2016","9z5k7NAP5A","Becca Moros","4JMAk47qKg","Defense",47.2,0.0766474327628362,0.117359413202934,30,0.710069444444444,1636
"67","2016","9z5k7azJ5A","Maya Hayes","raMyrr25d2","Offense",63.4,0.191430508474576,0.348668280871671,23,0.358506944444444,826
"68","2016","9z5k7k7d5A","Shea Groom","kRQaWa15KZ","Offense",51.6,0.181812464907355,0.431218416619876,22,0.773003472222222,1781
"69","2016","BLMvl7ABqx","Yael Averbuch","kRQaWa15KZ","Defense",62.6,0.11663625974026,0.14961038961039,29,0.835503472222222,1925
"70","2016","BLMvz047Mx","Alyssa Kleiner","aDQ0lzvQEv","Defense",36.4,0.0142372268274303,0.144687264506405,22,0.575954861111111,1327
"71","2016","BLMvzNdBMx","Michelle Cruz","7vQ7BBzqD1","Offense",12.8,-0.0529548387096774,0,23,0.0269097222222222,62
"72","2016","EGMPlAeyMa","Rachel Corsie","7vQ7BBzqD1","Defense",61.6,0.12180494053065,0.0878316559926807,26,0.474392361111111,1093
"73","2016","EGMPlJ8VMa","Whitney Engen","4wM4Ezg5jB","Defense",48,0.0343646017699115,0.141592920353982,28,0.588541666666667,1356
"74","2016","EGMPlrnyMa","Lady Andrade","xW5pwDBMg1","Midfield",23.6,-0.06656,0,24,0.0260416666666667,60
